"","X.1","X","ward","csw_lk","csw_na","csw_negrin","csw_tariq","csw_teresa","csw_untermeyer","w_sp_total","w_r_total","w_r_notcand","w_r_cand","w_s_gotv","avg_medHHinc","pmale","pfem","pp18_34","pp35_64","pp65_over","ppm18_34","ppm35_64","ppm65_over","ppf18_34","ppf35_64","ppf65_over","pwhite","pblack","pamer_nativ","pasian","ppac_isl","prace_other","prace_two","pnot_hisp","phisp_lat","pless_hs","phs","psome_college","pbachelor","pmasters","pprof_school_over","pdoctorate","pemployed","punemployed","pdem_vot_turnout","pvote_khan","pvote_oneill","pvote_krasner","pvote_untermeyer","pvote_negrin","pvote_shabazz","pvote_deni","pvote_write_in"
"21",21,21,"28",0,10000,0,0,0,0,6702,13600,13600,NA,NA,26058.0769230769,47.1629890598925,52.7628407194511,24.9582792508808,33.6269237900983,9.28054885963286,12.3029853513814,11.8208789171148,4.51511218245874,12.5625811236788,21.7411459299091,4.69126645651771,0.973484146115335,96.5974411273873,0,0.45429260152049,0,0.630446875579455,1.26089375115891,97.8954199888745,2.08603745596143,20.2576489533011,79.5813204508857,32.866344605475,7.10144927536232,1.5780998389694,0,0,81.0448577680525,18.7363238512035,14.9397281354193,15.9656652360515,6.3519313304721,21.9742489270386,13.5622317596567,19.8283261802575,20.9442060085837,1.37339055793991,0
"22",22,22,"29",0,13200,0,0,0,0,13050,18600,18600,NA,13050,46530,45.7075192421551,54.1740674955595,28.6066706137754,36.4614170120387,12.1965660153937,13.597789619104,18.2553779356621,4.62798500098678,14.9200710479574,18.1172291296625,7.48963883955003,18.5119400039471,77.1857114663509,0.0789421748569173,0.86836392342609,0.799289520426288,1.02624827313992,1.28281034142491,96.388395500296,3.54253009670416,20.1168736303871,79.7516435354273,48.5756026296567,23.754565376187,10.9861212563915,2.46895544192841,0.58436815193572,87.2354353043858,12.5245472397993,20.5936920222635,13.4384384384384,1.12612612612613,40.4654654654655,7.28228228228228,22.5975975975976,13.5885885885886,1.42642642642643,0.0750750750750751
"23",23,23,"3",0,14400,0,0,0,4000,NA,NA,NA,NA,NA,31845.2083333333,44.9393853961094,54.9929517902453,20.9247251198196,38.8948407104595,18.2069354383986,9.923879334649,16.0868339441782,6.38285875387652,10.9331829715252,22.7290668170285,11.7451367352692,1.5787989850578,94.2091908655202,0.0394699746264449,1.7310403157598,0,0.642796729630674,1.69157034113335,97.7840428531153,2.19340287566958,16.4998385534388,83.3871488537294,39.9095899257346,10.1388440426219,3.82628350016145,0.201808201485308,0.0645786244752987,74.4948115783725,25.3276897870016,18.7906371911573,13.7543252595156,2.07612456747405,30.5795847750865,21.7560553633218,9.12629757785467,21.5397923875433,1.16782006920415,0
"24",24,24,"30",NA,NA,NA,NA,NA,NA,5133.31,7200,7200,NA,NA,79036.2916666667,48.525184351956,51.3935758030246,40.7886514185727,36.376702912136,10.023747031621,18.978877640295,19.6475440569929,4.21822272215973,21.7472815898013,16.6479190101237,5.73053368328959,66.2417197850269,21.8722659667542,0.674915635545557,6.20547431571054,0.0937382827146607,1.30608673915761,3.31208598925134,95.381827271591,4.54943132108486,5.36607898991454,94.5569327892833,83.8786665640157,71.2602971745323,37.9551928554931,19.6704904149665,6.51320347986758,95.6154503179273,4.29913637657777,32.4930774372195,39.2594769321187,1.7631501616221,40.6993828974434,2.67411107846018,10.9903026741111,3.58507199529827,1.02850426094622,0
"25",25,25,"31",0,19250,0,0,0,0,24475,41500,41500,NA,44780.9,47105.6666666667,52.3569216653286,47.5972015139351,37.4928317467599,35.4283748136254,6.77830026379172,19.3772221585044,19.2797339144397,2.65512100011469,18.0639981649272,16.0740910654892,4.07156784034866,71.2008257827733,6.22777841495584,0.630806285124441,8.16033948847345,0,10.5574033719463,3.01066636082119,79.6650992086248,20.2775547654548,22.7154253218545,77.181897164521,46.094305347129,27.2964220835637,7.43227233235921,2.30629492141221,0.568675460074244,85.4732133780624,14.445461014537,26.974025974026,22.5806451612903,6.35532017332691,57.2460279248917,3.61097737120847,8.18488204140587,0.91478093403948,1.05922002888782,0.0481463649494463
"26",26,26,"32",0,16700,200,0,0,100,16493.4,14010,14010,NA,NA,23356,44.941966317706,54.9726900318616,36.5043240782886,29.1875284478835,10.611060537096,17.0061447428311,12.6877560309513,3.77218934911243,19.412835685025,16.4144287664998,6.76490669094219,14.332043695949,77.8334091943559,1.26877560309513,2.17910787437415,0,1.27446517979062,2.93013199817934,94.6631770596268,5.2742375967228,26.8676867686769,72.9297929792979,30.7943294329433,8.66336633663366,2.23897389738974,0.641314131413141,0.123762376237624,81.8761965539247,17.8685386088066,13.3374498301945,14.2361111111111,2.1412037037037,29.4560185185185,11.8055555555556,14.4097222222222,26.8518518518519,1.04166666666667,0.0578703703703704
"27",27,27,"33",0,19515,60,0,0,0,NA,NA,NA,NA,NA,28684.8965517241,47.725807606905,52.2204713129432,26.3018408423465,32.2362294964544,5.551178282358,11.7864049853162,15.117111954731,1.85516796791061,14.4724589929088,17.0868848936323,3.67452188238665,42.7440727741566,21.3630828737196,0.92042117326839,5.51536422892343,0.361721939689134,25.14504691641,3.79628966406418,36.8454981734833,63.1007807463649,34.9118794564779,65.0073994349522,22.2319386519575,7.66177855509216,1.16372931521593,0.443966097134401,0.228709807614691,77.9054916985952,22.0215289180806,5.09680324178298,26.1484098939929,5.30035335689046,25.0883392226148,9.18727915194346,23.1448763250883,9.01060070671378,2.12014134275618,0
"28",28,28,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41121.972972973,43.8312087048363,56.1245793726819,25.6748458723258,37.4990789182816,10.9129761992484,12.4996929727605,15.4422420357134,3.95942328003341,13.1309409770835,22.0126249600865,6.90197234298627,9.97715717338442,86.1223687765579,0.218603394493159,1.0979294082971,0.0614054478913369,0.886694667550905,1.5154864539582,96.2739174219537,3.69660796305848,11.0566829951015,88.8616748308841,56.5274861985849,22.5254645828474,8.28084907860975,2.28598087240495,0.653137392115699,88.4309700510553,11.4532343807569,21.6695406110448,15.6702713731891,2.42807590287696,34.4827586206897,7.97796368088145,11.1609875535605,26.7088349316466,1.55070393797184,0.02040399918384
"29",29,29,"35",0,12400,0,0,0,0,8072.38,12400,12400,NA,NA,41309.825,48.936170212766,51.0118087707434,24.8894553399573,34.5393538989752,8.15949643656037,13.1509129688394,15.3514019663944,3.06663892212454,11.6839203038027,19.1359309160901,5.04083649794517,28.3020340217448,46.6888623003694,0.431774436872497,7.3999895957967,0.0156063049471987,13.5800863548874,3.40997763096291,75.7061852988607,24.2495968371222,20.2164087111355,79.7059763502717,40.1360544217687,14.0117792083276,4.5290599461261,0.940510432360864,0.150664292562663,82.7650273224044,17.1256830601093,11.8146929824561,18.6194895591647,6.26450116009281,27.0881670533643,10.7308584686775,20.7656612529002,14.7331786542923,1.79814385150812,0
"30",30,30,"36",0,19450,1500,0,0,0,16438.86,22950,21350,1600,10950,43014.55,44.7620090524164,55.1467367498905,34.1546211125712,37.3594685355526,11.1731639655424,14.7320776755731,17.2105416849175,3.90567966126442,19.3385895751205,20.0722733245729,7.1908307782158,22.6930938823186,64.958388085852,0.0912541976930939,7.99386771791502,0.120455540954884,1.08409986859396,2.80332895313184,94.8313622426632,5.10293473499781,19.9926766752105,79.8922425066695,45.4464612648428,21.1330229638542,7.4697912852435,1.78898362713815,0.591096929434535,85.6664434025452,14.1728064300067,21.7682555500194,14.7761953204476,2.36520854526958,41.6327568667345,7.50254323499491,17.7009155645982,14.6236012207528,1.39877924720244,0
"31",31,31,"37",0,11000,0,0,0,0,4509.75,4575.07,4575.07,NA,NA,19966.45,41.968201754386,57.9495614035088,26.5967653508772,34.8135964912281,9.44353070175439,10.1905153508772,14.3571820175439,3.53618421052632,16.3377192982456,20.3878837719298,5.83881578947368,19.9835526315789,51.2266995614035,1.00740131578947,1.11705043859649,0,23.9651864035088,2.46025219298246,55.7771381578947,44.1611842105263,37.175456979858,62.6964722319246,25.1251600884853,3.55105367330306,0.79171032716265,0.349283967865875,0.349283967865875,73.8035264483627,25.9445843828715,10.4533865425119,15.3764581124072,1.37857900318134,39.4485683987275,11.983032873807,15.270413573701,15.0583244962884,1.48462354188759,0
"32",32,32,"38",150,16475,675,0,300,0,12397.94,20250,19425,825,NA,38183.5517241379,45.6082300565516,54.3075442185056,32.336662254843,35.8500782096017,12.9466971483576,15.533630128745,15.888581398147,4.52412465407291,16.7368547707857,19.8772710865119,8.35037901576224,35.8019492239201,55.3062206713993,0.0782096017326435,4.59030200938515,0.0240644928408134,1.29346649019372,2.7012393213813,94.7358921910721,5.2099627000361,13.5234508115864,86.4137745493678,55.9232355842525,31.7370639404538,15.6846919558784,5.38965115236302,1.11200789166891,90.5443393815487,9.28954766164069,23.5244440273998,19.4654966094934,1.79497407259673,30.7538891104906,5.58436378141205,29.1583566015158,12.0861587554846,1.15676106900678,0
"33",33,33,"39A",0,4500,0,0,0,0,NA,NA,NA,NA,NA,45647,49.7819468444006,50.1727968402863,28.9023286431334,36.2256233028882,11.8530404015469,15.2719493129268,18.6785155928577,4.46391837406402,13.5974656463425,17.5141940261664,7.34386571216983,57.1957541347815,9.55731095202831,0.275652102361557,27.3594997120053,0.065827367728133,2.76886365506459,2.67012260347239,88.8175759071834,11.1371677775035,29.1367568562488,70.7957543407571,31.603165838395,14.8720780415976,3.92662126510829,0.668752684213755,0.447880238051414,86.9208454206382,12.9796933278077,22.4981188863807,11.753463927377,40.6115623506928,21.4046822742475,8.36120401337793,13.1868131868132,2.96225513616818,1.72001911132346,0
"34",34,34,"39B",0,15400,0,0,0,0,NA,NA,NA,NA,NA,47811.9642857143,49.6049661399549,50.3283398317258,25.6002462548738,39.1340036938231,16.9095013338806,13.4157603119228,18.9718859019085,6.4334085778781,12.0921403652781,20.064641904371,10.4093987276832,73.0761337984814,5.46378001231274,0,15.9142212189616,0,1.75456597578494,3.59121690950133,88.9287912989944,11.0147752924277,23.0990052740503,76.7875025035049,40.930636224047,23.8200146872288,8.68549302356633,3.07764203217838,0.921289805728019,88.9693482789406,10.9314552127765,25.6854882410318,12.5316455696203,12.0253164556962,47.5105485232068,10.464135021097,14.9789029535865,0.928270042194093,1.51898734177215,0.0421940928270042
"35",35,35,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26745.9285714286,42.2617052184602,57.6544865348084,23.5054195999553,37.1549893842887,13.8115990613476,9.95641971169963,15.5380489440161,4.76030841434797,13.4819532908705,21.5387194099899,8.96748240026819,1.25153648452341,96.2621521957761,0.0558721644876523,0.00558721644876523,0,1.13420493909934,1.22918761872835,97.9550787797519,2.01698513800425,15.6547567048135,84.2229405084301,42.9282781514807,10.7539093212195,3.29343932908186,0.51541888704464,0.428059753647244,87.2519294377067,12.5689084895259,16.7886114203913,16.0587399336807,1.70535291331123,30.3173851255329,9.8531501657982,9.8531501657982,30.6963524396021,1.468498342018,0.0473709142586452
"36",36,36,"40A",0,1500,0,0,0,0,36000,56400,56400,NA,37800,35277.1176470588,47.7316992066885,52.2302978480832,23.5048216236758,39.0385254857251,12.6074770794737,11.4911405633937,18.8922141465964,4.55560305923709,11.9756781150539,20.1178091302076,8.00912070685478,13.5290485012588,78.8751128212436,0.0380029452282552,5.34891454087692,0,0.636549332573275,1.46786375944136,96.5607334568429,3.39651322977531,16.5242165242165,83.4027321206809,45.6644020746585,17.8610563225948,8.35707502374169,2.11848929797648,0.854700854700855,86.2377032724353,13.6719534230074,18.1657848324515,13.5922330097087,15.9427695452223,33.0097087378641,8.02248339294839,11.0884006131834,17.1180378129791,1.22636688809402,0
"37",37,37,"40B",0,8600,0,0,0,0,6369.68,6600,6600,NA,NA,31088.8709677419,44.4480102695764,55.5038510911425,25.6899871630295,35.3056803594352,8.42426187419769,10.6506739409499,15.3040757381258,3.4900513478819,14.9831514762516,19.941431322208,4.89409499358151,6.71935173299102,81.9680680359435,0.200577663671374,8.46437740693196,0,1.23956996148909,1.27166238767651,96.0085044929397,3.9714377406932,23.0831153149527,76.8229690749312,37.8345743610384,9.94834641443617,2.77051049842356,0.865365264640773,0.784866170255585,81.4303282565509,18.42777409895,11.6672616922528,14.3206854345165,13.8310893512852,29.1309669522644,7.16034271725826,9.54712362301102,24.9082007343941,1.1015911872705,0
"38",38,38,"41",0,0,0,0,0,3000,NA,NA,NA,NA,NA,41175.7647058823,47.1532306553813,52.7542666851672,26.2568798852967,37.1074418389529,10.3232967947829,13.1816289718329,17.0019888071782,3.94523842560474,13.0197493177929,20.0360760371861,6.32255677350724,64.5761065630637,21.5947458489432,0.0647518616160215,2.24781462467046,0,8.29286341982332,3.01558669811757,79.7095416493224,20.2118310901438,16.7671114937581,83.1109197876309,36.2247094274645,12.1825226000861,3.07074185679438,0.408953938872148,0.179365762663223,86.2535823697994,13.617946437395,10.4580070792663,23.6923076923077,13.025641025641,17.9487179487179,15.0769230769231,18.1538461538462,7.7948717948718,4.30769230769231,0
