"","ward","pvote_khan","pvote_oneill","pvote_krasner","pvote_untermeyer","pvote_negrin","pvote_shabazz","pvote_deni","pvote_write_in"
"1","1",15.470548408937,13.1347325660122,53.3513879485443,4.6039268788084,10.832769126608,1.32024373730535,1.2863913337847,0
"9","10",15.2191449314332,0.941113202473783,50.4436676525948,6.05001344447432,6.82979295509546,19.8440440978758,0.672223716052702,0
"17","11",14.7164393395549,1.22038765254846,28.8585786073223,10.5527638190955,11.7731514716439,31.8018664752333,1.07681263460158,0
"25","12",16.9775409212029,0.723258469737343,42.1773886562619,7.3087171678721,7.23258469737343,24.4765892653217,1.10392082223068,0
"33","13",19.8787353832828,5.80337808575141,31.1390212213079,9.44131658726721,10.3941100043309,22.2174101342573,1.12602858380251,0
"41","14",16.5314401622718,1.3184584178499,39.7565922920893,10.0405679513185,12.0689655172414,15.1115618661258,5.17241379310345,0
"49","15",28.9274106175515,2.41061755146262,42.4160346695558,4.90249187432286,17.7139761646804,1.89599133261105,1.73347778981582,0
"57","16",14.5077720207254,4.76683937823834,26.1139896373057,20.8290155440415,11.1917098445596,21.9689119170984,0.621761658031088,0
"65","17",18.6616074508451,0.689893066574681,34.7016212487065,7.58882373232149,6.93342531907554,30.7692307692308,0.620903759917213,0.034494653328734
"73","18",17.6170212765957,3.74468085106383,58.7659574468085,7.19148936170213,9.91489361702128,1.48936170212766,1.27659574468085,0
"81","19",10.8658743633277,1.01867572156197,25.4668930390492,6.45161290322581,49.5755517826825,5.77249575551783,0.848896434634975,0
"89","2",24.2616899097621,2.64561115668581,55.045118949959,3.7940935192781,10.6439704675964,2.44052502050861,1.14848236259229,0.0205086136177194
"97","20",14.9859943977591,0.420168067226891,36.6946778711485,12.0448179271709,20.3081232492997,13.7254901960784,1.82072829131653,0
"105","21",33.7915660412409,7.98811071892997,32.2868289058146,4.47705740293517,16.8307635147687,2.95374326583689,1.67193015047371,0
"113","22",24.7095134350036,0.853304284676834,49.0196078431373,3.46768336964415,8.71459694989107,12.5453885257807,0.689905591866376,0
"121","23",19.8598130841121,19.7040498442368,24.1433021806854,8.56697819314642,14.2523364485981,11.5264797507788,1.94704049844237,0
"129","24",14.6036161335188,2.01668984700974,45.6189151599444,11.1961057023644,9.94436717663421,15.0904033379694,1.46036161335188,0.0695410292072323
"137","25",21.0986267166042,11.7353308364544,32.70911360799,13.8576779026217,14.9812734082397,3.99500624219725,1.62297128589263,0
"145","26",15.2439024390244,15.5487804878049,27.1341463414634,9.45121951219512,29.3292682926829,1.52439024390244,1.76829268292683,0
"153","27",14.1051567239636,1.06167846309403,69.8685540950455,3.13447927199191,6.31951466127401,4.44893832153691,1.06167846309403,0
"161","28",15.9656652360515,6.3519313304721,21.9742489270386,13.5622317596567,19.8283261802575,20.9442060085837,1.37339055793991,0
"169","29",13.4384384384384,1.12612612612613,40.4654654654655,7.28228228228228,22.5975975975976,13.5885885885886,1.42642642642643,0.0750750750750751
"177","3",13.7543252595156,2.07612456747405,30.5795847750865,21.7560553633218,9.12629757785467,21.5397923875433,1.16782006920415,0
"185","30",39.2594769321187,1.7631501616221,40.6993828974434,2.67411107846018,10.9903026741111,3.58507199529827,1.02850426094622,0
"193","31",22.5806451612903,6.35532017332691,57.2460279248917,3.61097737120847,8.18488204140587,0.91478093403948,1.05922002888782,0.0481463649494463
"201","32",14.2361111111111,2.1412037037037,29.4560185185185,11.8055555555556,14.4097222222222,26.8518518518519,1.04166666666667,0.0578703703703704
"209","33",26.1484098939929,5.30035335689046,25.0883392226148,9.18727915194346,23.1448763250883,9.01060070671378,2.12014134275618,0
"217","34",15.6702713731891,2.42807590287696,34.4827586206897,7.97796368088145,11.1609875535605,26.7088349316466,1.55070393797184,0.02040399918384
"225","35",18.6194895591647,6.26450116009281,27.0881670533643,10.7308584686775,20.7656612529002,14.7331786542923,1.79814385150812,0
"233","36",14.7761953204476,2.36520854526958,41.6327568667345,7.50254323499491,17.7009155645982,14.6236012207528,1.39877924720244,0
"241","37",15.3764581124072,1.37857900318134,39.4485683987275,11.983032873807,15.270413573701,15.0583244962884,1.48462354188759,0
"249","38",19.4654966094934,1.79497407259673,30.7538891104906,5.58436378141205,29.1583566015158,12.0861587554846,1.15676106900678,0
"257","39A",11.753463927377,40.6115623506928,21.4046822742475,8.36120401337793,13.1868131868132,2.96225513616818,1.72001911132346,0
"265","39B",12.5316455696203,12.0253164556962,47.5105485232068,10.464135021097,14.9789029535865,0.928270042194093,1.51898734177215,0.0421940928270042
"273","4",16.0587399336807,1.70535291331123,30.3173851255329,9.8531501657982,9.8531501657982,30.6963524396021,1.468498342018,0.0473709142586452
"281","40A",13.5922330097087,15.9427695452223,33.0097087378641,8.02248339294839,11.0884006131834,17.1180378129791,1.22636688809402,0
"289","40B",14.3206854345165,13.8310893512852,29.1309669522644,7.16034271725826,9.54712362301102,24.9082007343941,1.1015911872705,0
"297","41",23.6923076923077,13.025641025641,17.9487179487179,15.0769230769231,18.1538461538462,7.7948717948718,4.30769230769231,0
"305","42",15.9055118110236,1.18110236220472,44.8818897637795,6.8503937007874,14.8818897637795,14.5669291338583,1.73228346456693,0
"313","43",16.5902841429881,1.74152153987168,32.1723189734189,10.1741521539872,23.0980751604033,15.032080659945,1.19156736938588,0
"321","44",14.6186440677966,1.0593220338983,36.5819209039548,9.18079096045198,10.7344632768362,26.7655367231638,1.0593220338983,0
"329","45",22.085201793722,16.5919282511211,17.152466367713,12.5560538116592,25.7847533632287,2.3542600896861,3.36322869955157,0.112107623318386
